ticker,instrument_type,currency,country,asset_class,default_ytm,default_duration,default_risk_score,notes
XLK,etf,ARS,US,Equity,10.0,0,6,Technology Sector ETF CEDEAR
EEM,etf,ARS,Global,Equity,9.0,0,6,iShares MSCI EM CEDEAR
EWZ,etf,ARS,Global,Equity,9.0,0,7,iShares MSCI Brazil CEDEAR
EWJ,etf,ARS,Global,Equity,8.0,0,5,iShares MSCI Japan CEDEAR
AAPL,equity,ARS,US,Equity,10.0,0,7,Apple CEDEAR
MSFT,equity,ARS,US,Equity,10.0,0,7,Microsoft CEDEAR
GOOGL,equity,ARS,US,Equity,10.0,0,7,Alphabet CEDEAR
AMZN,equity,ARS,US,Equity,10.0,0,7,Amazon CEDEAR
META,equity,ARS,US,Equity,10.0,0,7,Meta CEDEAR
MELI,equity,ARS,AR,Equity,12.0,0,7,MercadoLibre CEDEAR
VIST,equity,ARS,AR,Equity,12.0,0,7,Vista Energy ADS CEDEAR
COIN,equity,ARS,US,Alternatives,0.0,0,8,Coinbase CEDEAR
JPM,equity,ARS,US,Equity,10.0,0,6,JP Morgan CEDEAR
JNJ,equity,ARS,US,Equity,8.0,0,5,Johnson & Johnson CEDEAR
WMT,equity,ARS,US,Equity,9.0,0,5,Walmart CEDEAR
PG,equity,ARS,US,Equity,8.0,0,5,Procter & Gamble CEDEAR
IBM,equity,ARS,US,Equity,9.0,0,6,IBM CEDEAR
GE,equity,ARS,US,Equity,10.0,0,6,General Electric CEDEAR
AMD,equity,ARS,US,Equity,10.0,0,7,AMD CEDEAR
MO,equity,ARS,US,Equity,8.0,0,5,Altria CEDEAR
QCOM,equity,ARS,US,Equity,10.0,0,6,Qualcomm CEDEAR
GGAL,equity,ARS,AR,Equity,12.0,0,8,Grupo Galicia
YPFD,equity,ARS,AR,Equity,12.0,0,8,YPF SA
BMA,equity,ARS,AR,Equity,12.0,0,7,Banco Macro
CEPU,equity,ARS,AR,Equity,12.0,0,7,Central Puerto
PAMP,equity,ARS,AR,Equity,12.0,0,7,Pampa Energía
TXAR,equity,ARS,AR,Equity,12.0,0,7,Ternium Argentina
LOMA,equity,ARS,AR,Equity,11.0,0,7,Loma Negra
TGNO4,equity,ARS,AR,Equity,12.0,0,7,Transportadora Gas Norte
TGSU2,equity,ARS,AR,Equity,12.0,0,7,Transportadora Gas Sur
ECOG,equity,ARS,AR,Equity,11.0,0,7,Ecogas
CASH_USD,cash,USD,Global,Cash,5.0,0,1,Liquidez USD / Money Market
CASH_ARS,cash,ARS,AR,Cash,55.0,0,1,Liquidez ARS / Money Market
